Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:387142400, 22.5798184071, 113.9265842156,4,12 
 tow, lat,lon:387142500, 22.5798184026, 113.9265842082,4,12 
 tow, lat,lon:387142600, 22.5798183974, 113.9265842102,4,12 
 tow, lat,lon:387142700, 22.5798183950, 113.9265842122,4,12 
 tow, lat,lon:387142800, 22.5798184102, 113.9265842044,4,12 
 tow, lat,lon:387142900, 22.5798184064, 113.9265842009,4,12 
 tow, lat,lon:387143000, 22.5798184181, 113.9265842060,4,12 
 tow, lat,lon:387143100, 22.5798184094, 113.9265842014,4,12 
 tow, lat,lon:387143200, 22.5798184193, 113.9265842060,4,12 
 tow, lat,lon:387143300, 22.5798184180, 113.9265842015,4,12 
 tow, lat,lon:387143700, 22.5798184253, 113.9265841957,4,12 
 tow, lat,lon:387143800, 22.5798184205, 113.9265841923,4,12 
 tow, lat,lon:387143900, 22.5798184215, 113.9265841955,4,12 
 tow, lat,lon:387144000, 22.5798184268, 113.9265841942,4,12 
 tow, lat,lon:387144100, 22.5798184230, 113.9265841840,4,12 
 tow, lat,lon:387144200, 22.5798184382, 113.9265841901,4,12 
 tow, lat,lon:387144300, 22.5798184349, 113.9265841851,4,12 
 tow, lat,lon:387144400, 22.5798183960, 113.9265842298,4,12 
 tow, lat,lon:387144500, 22.5798184040, 113.9265842272,4,12 
 tow, lat,lon:387144600, 22.5798184091, 113.9265842180,4,12 
 tow, lat,lon:387144700, 22.5798184113, 113.9265842204,4,12 
 tow, lat,lon:387144800, 22.5798184227, 113.9265842229,4,12 
 tow, lat,lon:387144900, 22.5798184267, 113.9265842178,4,12 
 tow, lat,lon:387145000, 22.5798184204, 113.9265842200,4,12 
 tow, lat,lon:387145100, 22.5798184166, 113.9265842194,4,12 
 tow, lat,lon:387145200, 22.5798184174, 113.9265842139,4,12 
 tow, lat,lon:387145300, 22.5798184244, 113.9265842115,4,12 
 tow, lat,lon:387145400, 22.5798184298, 113.9265842121,4,12 
 tow, lat,lon:387145500, 22.5798184353, 113.9265842043,4,12 
 tow, lat,lon:387145600, 22.5798184382, 113.9265842096,4,12 
 tow, lat,lon:387145700, 22.5798184340, 113.9265842031,4,12 
 tow, lat,lon:387145800, 22.5798184334, 113.9265842143,4,12 
 tow, lat,lon:387146100, 22.5798184473, 113.9265842082,4,12 
 tow, lat,lon:387146200, 22.5798184336, 113.9265842014,4,12 
 tow, lat,lon:387146300, 22.5798184422, 113.9265841998,4,12 
 tow, lat,lon:387146400, 22.5798184043, 113.9265842265,4,12 
 tow, lat,lon:387146500, 22.5798183965, 113.9265842325,4,12 
 tow, lat,lon:387146600, 22.5798183953, 113.9265842189,4,12 
 tow, lat,lon:387146700, 22.5798184019, 113.9265842237,4,12 
 tow, lat,lon:387146800, 22.5798184080, 113.9265842169,4,12 
 tow, lat,lon:387146900, 22.5798184075, 113.9265842233,4,12 
 tow, lat,lon:387147000, 22.5798184125, 113.9265842198,4,12 
 tow, lat,lon:387147100, 22.5798184169, 113.9265842212,4,12 
 tow, lat,lon:387147200, 22.5798184155, 113.9265842170,4,12 
 tow, lat,lon:387147300, 22.5798184148, 113.9265842079,4,12 
 tow, lat,lon:387147400, 22.5798184297, 113.9265842146,4,12 
 tow, lat,lon:387147500, 22.5798184190, 113.9265842074,4,12 
 tow, lat,lon:387147600, 22.5798184204, 113.9265842116,4,12 
 tow, lat,lon:387147700, 22.5798184211, 113.9265842080,4,12 
 tow, lat,lon:387147800, 22.5798184225, 113.9265842064,4,12 
 tow, lat,lon:387147900, 22.5798184149, 113.9265841865,4,12 
 tow, lat,lon:387148000, 22.5798184194, 113.9265841967,4,12 
 tow, lat,lon:387148100, 22.5798184391, 113.9265841948,4,12 
 tow, lat,lon:387148200, 22.5798184406, 113.9265841967,4,12 
 tow, lat,lon:387148300, 22.5798184275, 113.9265841943,4,12 
 tow, lat,lon:387148400, 22.5798184089, 113.9265841993,4,12 
 tow, lat,lon:387148500, 22.5798184073, 113.9265842068,4,12 
 tow, lat,lon:387148600, 22.5798184171, 113.9265842099,4,12 
 tow, lat,lon:387148700, 22.5798184056, 113.9265842095,4,12 
 tow, lat,lon:387148800, 22.5798184050, 113.9265842079,4,12 
 tow, lat,lon:387148900, 22.5798184180, 113.9265842045,4,12 
 tow, lat,lon:387149000, 22.5798184258, 113.9265842010,4,12 
 tow, lat,lon:387149100, 22.5798184199, 113.9265841969,4,12 
 tow, lat,lon:387149200, 22.5798184281, 113.9265841933,4,12 
 tow, lat,lon:387149300, 22.5798184332, 113.9265841900,4,12 
 tow, lat,lon:387149400, 22.5798184356, 113.9265841997,4,12 
 tow, lat,lon:387149500, 22.5798184325, 113.9265841918,4,12 
 tow, lat,lon:387149600, 22.5798184570, 113.9265841910,4,12 
 tow, lat,lon:387149700, 22.5798184440, 113.9265841879,4,12 
 tow, lat,lon:387150000, 22.5798184581, 113.9265841881,4,12 
 tow, lat,lon:387150100, 22.5798184580, 113.9265841771,4,12 
 tow, lat,lon:387150200, 22.5798184548, 113.9265841814,4,12 
 tow, lat,lon:387150300, 22.5798184559, 113.9265841754,4,12 
 tow, lat,lon:387150400, 22.5798184255, 113.9265842125,4,12 
 tow, lat,lon:387150500, 22.5798184225, 113.9265842104,4,12 
 tow, lat,lon:387150600, 22.5798184283, 113.9265842132,4,12 
 tow, lat,lon:387150700, 22.5798184311, 113.9265842110,4,12 
 tow, lat,lon:387150800, 22.5798184333, 113.9265842062,4,12 
 tow, lat,lon:387150900, 22.5798184245, 113.9265842068,4,12 
 tow, lat,lon:387151000, 22.5798184333, 113.9265841925,4,12 
 tow, lat,lon:387151100, 22.5798184370, 113.9265841942,4,12 
 tow, lat,lon:387151200, 22.5798184229, 113.9265841964,4,12 
 tow, lat,lon:387151300, 22.5798184347, 113.9265842012,4,12 
 tow, lat,lon:387151400, 22.5798184364, 113.9265841930,4,12 
 tow, lat,lon:387151500, 22.5798184391, 113.9265841933,4,12 
 tow, lat,lon:387151600, 22.5798184420, 113.9265841884,4,12 
 tow, lat,lon:387151700, 22.5798184415, 113.9265841946,4,12 
 tow, lat,lon:387151800, 22.5798184556, 113.9265841986,4,12 
 tow, lat,lon:387151900, 22.5798184404, 113.9265841866,4,12 
 tow, lat,lon:387152000, 22.5798184323, 113.9265841899,4,12 
 tow, lat,lon:387152100, 22.5798184567, 113.9265841988,4,12 
 tow, lat,lon:387152200, 22.5798184490, 113.9265841996,4,12 
 tow, lat,lon:387152300, 22.5798184417, 113.9265841978,4,12 
 tow, lat,lon:387152400, 22.5798184070, 113.9265842186,4,12 
 tow, lat,lon:387152500, 22.5798184125, 113.9265842114,4,12 
 tow, lat,lon:387152600, 22.5798184112, 113.9265842048,4,12 
 tow, lat,lon:387152700, 22.5798184167, 113.9265842033,4,12 
 tow, lat,lon:387152800, 22.5798184268, 113.9265841934,4,12 
 tow, lat,lon:387152900, 22.5798184166, 113.9265842036,4,12 
 tow, lat,lon:387153300, 22.5798184388, 113.9265841888,4,12 
 tow, lat,lon:387153400, 22.5798184461, 113.9265841966,4,12 
 tow, lat,lon:387153500, 22.5798184487, 113.9265841956,4,12 
 tow, lat,lon:387153600, 22.5798184468, 113.9265841901,4,12 
 tow, lat,lon:387153700, 22.5798184538, 113.9265842014,4,12 
 tow, lat,lon:387153800, 22.5798184664, 113.9265841887,4,12 
 tow, lat,lon:387153900, 22.5798184628, 113.9265841934,4,12 
 tow, lat,lon:387154000, 22.5798184692, 113.9265841802,4,12 
 tow, lat,lon:387154100, 22.5798184878, 113.9265841880,4,12 
 tow, lat,lon:387154200, 22.5798184765, 113.9265841784,4,12 
 tow, lat,lon:387154300, 22.5798184856, 113.9265841618,4,12 
 tow, lat,lon:387154400, 22.5798184384, 113.9265842020,4,12 
 tow, lat,lon:387154500, 22.5798184630, 113.9265842743,4,12 
 tow, lat,lon:387154600, 22.5798184947, 113.9265844452,4,12 
 tow, lat,lon:387154700, 22.5798185431, 113.9265847260,4,12 
 tow, lat,lon:387154800, 22.5798185791, 113.9265851290,4,12 
 tow, lat,lon:387154900, 22.5798186110, 113.9265856277,4,12 
 tow, lat,lon:387155000, 22.5798186352, 113.9265862527,4,12 
 tow, lat,lon:387155100, 22.5798186758, 113.9265869429,4,12 
 tow, lat,lon:387155200, 22.5798188216, 113.9265877785,4,12 
 tow, lat,lon:387155300, 22.5798188364, 113.9265886956,4,12 
 tow, lat,lon:387155400, 22.5798188565, 113.9265896939,4,12 
 tow, lat,lon:387155500, 22.5798189103, 113.9265908243,4,12 
 tow, lat,lon:387155600, 22.5798189519, 113.9265920170,4,12 
