Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:223095100, 22.5798120103, 113.9265577179,4,12 
 tow, lat,lon:223095200, 22.5798120042, 113.9265577128,4,12 
 tow, lat,lon:223095300, 22.5798120111, 113.9265577247,4,12 
 tow, lat,lon:223095400, 22.5798119986, 113.9265577131,4,12 
 tow, lat,lon:223095500, 22.5798119927, 113.9265577163,4,12 
 tow, lat,lon:223095600, 22.5798120042, 113.9265577158,4,12 
 tow, lat,lon:223095700, 22.5798120146, 113.9265577199,4,12 
 tow, lat,lon:223095800, 22.5798120139, 113.9265577175,4,12 
 tow, lat,lon:223095900, 22.5798119999, 113.9265577179,4,12 
 tow, lat,lon:223096000, 22.5798119961, 113.9265577450,4,12 
 tow, lat,lon:223096100, 22.5798120064, 113.9265577547,4,12 
 tow, lat,lon:223096200, 22.5798120108, 113.9265577558,4,12 
 tow, lat,lon:223096300, 22.5798120069, 113.9265577625,4,12 
 tow, lat,lon:223096400, 22.5798120102, 113.9265577657,4,12 
 tow, lat,lon:223096500, 22.5798120129, 113.9265577625,4,12 
 tow, lat,lon:223096600, 22.5798119950, 113.9265577589,4,12 
 tow, lat,lon:223096700, 22.5798120006, 113.9265577657,4,12 
 tow, lat,lon:223096800, 22.5798120080, 113.9265577710,4,12 
 tow, lat,lon:223096900, 22.5798119996, 113.9265577766,4,12 
 tow, lat,lon:223097000, 22.5798120024, 113.9265577755,4,12 
 tow, lat,lon:223097100, 22.5798120138, 113.9265577784,4,12 
 tow, lat,lon:223097200, 22.5798120033, 113.9265577776,4,12 
 tow, lat,lon:223097300, 22.5798120105, 113.9265577704,4,12 
 tow, lat,lon:223097400, 22.5798120124, 113.9265577769,4,12 
 tow, lat,lon:223097500, 22.5798120091, 113.9265577822,4,12 
 tow, lat,lon:223097600, 22.5798120141, 113.9265577918,4,12 
 tow, lat,lon:223097700, 22.5798120176, 113.9265577830,4,12 
 tow, lat,lon:223097800, 22.5798120050, 113.9265577809,4,12 
 tow, lat,lon:223097900, 22.5798120196, 113.9265577942,4,12 
 tow, lat,lon:223098000, 22.5798120202, 113.9265577876,4,12 
 tow, lat,lon:223098100, 22.5798120097, 113.9265577931,4,12 
 tow, lat,lon:223098200, 22.5798120017, 113.9265577578,4,12 
 tow, lat,lon:223098300, 22.5798119939, 113.9265577646,4,12 
 tow, lat,lon:223098400, 22.5798120059, 113.9265577677,4,12 
 tow, lat,lon:223098500, 22.5798120001, 113.9265577717,4,12 
 tow, lat,lon:223098600, 22.5798120003, 113.9265577705,4,12 
 tow, lat,lon:223098700, 22.5798120108, 113.9265577685,4,12 
 tow, lat,lon:223098800, 22.5798119960, 113.9265577734,4,12 
 tow, lat,lon:223098900, 22.5798120046, 113.9265577725,4,12 
 tow, lat,lon:223099000, 22.5798120046, 113.9265577846,4,12 
 tow, lat,lon:223099100, 22.5798120012, 113.9265577845,4,12 
 tow, lat,lon:223099200, 22.5798120100, 113.9265577825,4,12 
 tow, lat,lon:223099300, 22.5798120140, 113.9265577822,4,12 
 tow, lat,lon:223099400, 22.5798120095, 113.9265577827,4,12 
 tow, lat,lon:223099500, 22.5798120134, 113.9265577834,4,12 
 tow, lat,lon:223099600, 22.5798120064, 113.9265577806,4,12 
 tow, lat,lon:223099700, 22.5798120067, 113.9265577865,4,12 
 tow, lat,lon:223099800, 22.5798120118, 113.9265577897,4,12 
 tow, lat,lon:223099900, 22.5798120146, 113.9265577926,4,12 
 tow, lat,lon:223100000, 22.5798120177, 113.9265577931,4,12 
 tow, lat,lon:223100100, 22.5798120145, 113.9265577872,4,12 
 tow, lat,lon:223100200, 22.5798120167, 113.9265577571,4,12 
 tow, lat,lon:223100300, 22.5798120081, 113.9265577541,4,12 
 tow, lat,lon:223100400, 22.5798120043, 113.9265577674,4,12 
 tow, lat,lon:223100500, 22.5798120063, 113.9265577658,4,12 
 tow, lat,lon:223100600, 22.5798120036, 113.9265577583,4,12 
 tow, lat,lon:223100700, 22.5798120041, 113.9265577688,4,12 
 tow, lat,lon:223100800, 22.5798120057, 113.9265577583,4,12 
 tow, lat,lon:223100900, 22.5798120138, 113.9265577636,4,12 
 tow, lat,lon:223101000, 22.5798120119, 113.9265577710,4,12 
 tow, lat,lon:223101100, 22.5798120045, 113.9265577635,4,12 
 tow, lat,lon:223101200, 22.5798120080, 113.9265577650,4,12 
 tow, lat,lon:223101300, 22.5798120089, 113.9265577682,4,12 
 tow, lat,lon:223101400, 22.5798120043, 113.9265577707,4,12 
 tow, lat,lon:223101500, 22.5798120160, 113.9265577677,4,12 
 tow, lat,lon:223101600, 22.5798120048, 113.9265577733,4,12 
 tow, lat,lon:223101700, 22.5798120168, 113.9265577804,4,12 
 tow, lat,lon:223101800, 22.5798120128, 113.9265577685,4,12 
 tow, lat,lon:223101900, 22.5798120103, 113.9265577790,4,12 
 tow, lat,lon:223102000, 22.5798120100, 113.9265577777,4,12 
 tow, lat,lon:223102100, 22.5798119992, 113.9265577694,4,12 
