Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
1519539812.d%d 652,23031984,-70,206,17010,-5,-13,3,-503 
1519539812.d%d 672,23031984,-70,206,17010,-5,-13,3,-503 
1519539812.d%d 692,23032005,-63,195,17020,-4,-13,0,-503 
1519539812.d%d 713,23032085,-51,203,17023,-3,-14,-5,-479 
1519539812.d%d 734,23032085,-51,203,17023,-3,-14,-5,-479 
1519539812.d%d 754,23032125,-45,228,17008,-2,-14,-2,-511 
1519539812.d%d 775,23032145,-54,207,17006,-4,-15,-2,-503 
1519539812.d%d 796,23032165,-44,208,17028,-5,-14,-3,-503 
1519539812.d%d 816,23032185,-73,215,17031,3,-13,-4,-503 
1519539812.d%d 837,23032185,-73,215,17031,3,-13,-4,-503 
1519539812.d%d 857,23032185,-73,215,17031,3,-13,-4,-503 
1519539812.d%d 878,23032206,-76,205,17006,0,-13,2,-503 
1519539812.d%d 898,23032246,-67,211,17028,-1,-12,1,-503 
1519539812.d%d 918,23032286,-79,201,17023,-2,-17,0,-495 
1519539812.d%d 938,23032286,-79,201,17023,-2,-17,0,-495 
1519539812.d%d 959,23032326,-59,205,17012,3,-17,-6,-503 
1519539812.d%d 980,23032366,-51,182,17008,-7,-14,-1,-511 
1519539813.d%d 1,23032366,-51,182,17008,-7,-14,-1,-511 
1519539813.d%d 21,23032386,-54,228,17028,-4,-14,-2,-503 
1519539813.d%d 41,23032386,-54,228,17028,-4,-14,-2,-503 
1519539813.d%d 62,23032386,-54,228,17028,-4,-14,-2,-503 
1519539813.d%d 82,23032407,-66,232,17041,-2,-15,-1,-503 
1519539813.d%d 104,23032487,-69,219,17005,-4,-11,-3,-487 
1519539813.d%d 124,23032487,-69,219,17005,-4,-11,-3,-487 
1519539813.d%d 144,23032487,-69,219,17005,-4,-11,-3,-487 
1519539813.d%d 165,23032547,-45,182,17023,-6,-19,1,-503 
1519539813.d%d 185,23032567,-46,190,17038,-4,-13,2,-503 
1519539813.d%d 206,23032587,-23,191,17026,-3,-9,5,-503 
1519539813.d%d 227,23032587,-23,191,17026,-3,-9,5,-503 
1519539813.d%d 248,23032587,-23,191,17026,-3,-9,5,-503 
1519539813.d%d 268,23032587,-23,191,17026,-3,-9,5,-503 
1519539813.d%d 289,23032608,-38,189,17055,-2,-11,0,-503 
1519539813.d%d 310,23032608,-38,189,17055,-2,-11,0,-503 
1519539813.d%d 331,23032608,-38,189,17055,-2,-11,0,-503 
1519539813.d%d 352,23032608,-38,189,17055,-2,-11,0,-503 
1519539813.d%d 372,23032688,-38,216,17031,-2,-14,-1,-519 
1519539813.d%d 393,23032728,-61,175,17004,-4,-14,-2,-495 
1519539813.d%d 414,23032789,-66,206,17003,-4,-9,-3,-503 
1519539813.d%d 435,23032789,-66,206,17003,-4,-9,-3,-503 
1519539813.d%d 456,23032789,-66,206,17003,-4,-9,-3,-503 
1519539813.d%d 476,23032809,-55,199,17034,-3,-14,0,-503 
1519539813.d%d 496,23032869,-43,197,17048,-4,-17,-2,-495 
1519539813.d%d 517,23032889,-60,203,17019,-3,-14,-2,-495 
1519539813.d%d 537,23032889,-60,203,17019,-3,-14,-2,-495 
1519539813.d%d 557,23032929,-55,210,17002,-6,-14,1,-511 
1519539813.d%d 578,23032949,-63,198,17020,-1,-16,-2,-495 
1519539813.d%d 599,23032969,-52,185,17003,-1,-15,0,-495 
