Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:309371900, 22.5798094321, 113.9265948146,4,11 
 tow, lat,lon:309372000, 22.5798094357, 113.9265948126,4,11 
 tow, lat,lon:309372100, 22.5798094358, 113.9265948146,4,11 
 tow, lat,lon:309372200, 22.5798094360, 113.9265948215,4,11 
 tow, lat,lon:309372300, 22.5798094418, 113.9265948214,4,11 
 tow, lat,lon:309372400, 22.5798094376, 113.9265948248,4,11 
 tow, lat,lon:309372500, 22.5798094679, 113.9265948361,4,11 
 tow, lat,lon:309372600, 22.5798094631, 113.9265948462,4,11 
 tow, lat,lon:309372700, 22.5798094688, 113.9265948433,4,11 
 tow, lat,lon:309372800, 22.5798094694, 113.9265948511,4,11 
 tow, lat,lon:309372900, 22.5798094695, 113.9265948540,4,11 
 tow, lat,lon:309373000, 22.5798094699, 113.9265948536,4,11 
 tow, lat,lon:309373100, 22.5798094725, 113.9265948683,4,11 
 tow, lat,lon:309373200, 22.5798094772, 113.9265948667,4,11 
 tow, lat,lon:309373300, 22.5798094672, 113.9265948672,4,11 
 tow, lat,lon:309373400, 22.5798094809, 113.9265948765,4,11 
 tow, lat,lon:309373500, 22.5798094690, 113.9265948759,4,11 
 tow, lat,lon:309373600, 22.5798094765, 113.9265948820,4,11 
 tow, lat,lon:309373700, 22.5798094802, 113.9265948754,4,11 
 tow, lat,lon:309373800, 22.5798094753, 113.9265948652,4,11 
 tow, lat,lon:309373900, 22.5798094931, 113.9265948888,4,11 
 tow, lat,lon:309374000, 22.5798094815, 113.9265948753,4,11 
 tow, lat,lon:309374100, 22.5798094862, 113.9265948850,4,11 
 tow, lat,lon:309374200, 22.5798094794, 113.9265948859,4,11 
 tow, lat,lon:309374300, 22.5798094906, 113.9265948918,4,11 
 tow, lat,lon:309374400, 22.5798094878, 113.9265949052,4,11 
 tow, lat,lon:309374500, 22.5798094577, 113.9265948510,4,11 
 tow, lat,lon:309374600, 22.5798094537, 113.9265948598,4,11 
 tow, lat,lon:309374700, 22.5798094603, 113.9265948582,4,11 
 tow, lat,lon:309374800, 22.5798094541, 113.9265948618,4,11 
 tow, lat,lon:309374900, 22.5798094541, 113.9265948593,4,11 
 tow, lat,lon:309375000, 22.5798094475, 113.9265948608,4,11 
 tow, lat,lon:309375100, 22.5798094512, 113.9265948574,4,11 
 tow, lat,lon:309375200, 22.5798094445, 113.9265948551,4,11 
 tow, lat,lon:309375300, 22.5798094525, 113.9265948683,4,11 
 tow, lat,lon:309375400, 22.5798094431, 113.9265948652,4,11 
 tow, lat,lon:309375500, 22.5798094424, 113.9265948649,4,11 
 tow, lat,lon:309375600, 22.5798094437, 113.9265948729,4,11 
 tow, lat,lon:309375700, 22.5798094425, 113.9265948608,4,11 
 tow, lat,lon:309375800, 22.5798094448, 113.9265948763,4,11 
 tow, lat,lon:309375900, 22.5798094444, 113.9265948740,4,11 
 tow, lat,lon:309376000, 22.5798094432, 113.9265948758,4,11 
 tow, lat,lon:309376100, 22.5798094406, 113.9265948751,4,11 
 tow, lat,lon:309376200, 22.5798094342, 113.9265948749,4,11 
 tow, lat,lon:309376300, 22.5798094403, 113.9265948728,4,11 
 tow, lat,lon:309376400, 22.5798094345, 113.9265948786,4,11 
 tow, lat,lon:309376500, 22.5798094404, 113.9265948474,4,11 
 tow, lat,lon:309376600, 22.5798094333, 113.9265948494,4,11 
 tow, lat,lon:309376700, 22.5798094407, 113.9265948489,4,11 
 tow, lat,lon:309376800, 22.5798094361, 113.9265948473,4,11 
 tow, lat,lon:309376900, 22.5798094290, 113.9265948494,4,11 
 tow, lat,lon:309377000, 22.5798094312, 113.9265948441,4,11 
 tow, lat,lon:309377100, 22.5798094384, 113.9265948591,4,11 
 tow, lat,lon:309377200, 22.5798094370, 113.9265948488,4,11 
 tow, lat,lon:309377300, 22.5798094319, 113.9265948594,4,11 
 tow, lat,lon:309377400, 22.5798094301, 113.9265948652,4,11 
 tow, lat,lon:309377500, 22.5798094361, 113.9265948675,4,11 
 tow, lat,lon:309377600, 22.5798094335, 113.9265948595,4,11 
 tow, lat,lon:309377700, 22.5798094404, 113.9265948766,4,11 
 tow, lat,lon:309377800, 22.5798094398, 113.9265948824,4,11 
 tow, lat,lon:309377900, 22.5798094365, 113.9265948720,4,11 
 tow, lat,lon:309378000, 22.5798094360, 113.9265948752,4,11 
 tow, lat,lon:309378100, 22.5798094451, 113.9265948828,4,11 
 tow, lat,lon:309378200, 22.5798094483, 113.9265948909,4,11 
 tow, lat,lon:309378300, 22.5798094408, 113.9265948860,4,11 
 tow, lat,lon:309378400, 22.5798094456, 113.9265948928,4,11 
 tow, lat,lon:309378500, 22.5798094472, 113.9265948808,4,11 
 tow, lat,lon:309378600, 22.5798094365, 113.9265948771,4,11 
 tow, lat,lon:309378700, 22.5798094408, 113.9265948822,4,11 
 tow, lat,lon:309378800, 22.5798094408, 113.9265948909,4,11 
 tow, lat,lon:309378900, 22.5798094436, 113.9265948498,4,11 
 tow, lat,lon:309379000, 22.5798094379, 113.9265948476,4,11 
 tow, lat,lon:309379100, 22.5798094401, 113.9265948446,4,11 
 tow, lat,lon:309379200, 22.5798094465, 113.9265948605,4,11 
 tow, lat,lon:309379300, 22.5798094393, 113.9265948523,4,11 
 tow, lat,lon:309379400, 22.5798094352, 113.9265948470,4,11 
 tow, lat,lon:309379500, 22.5798094291, 113.9265948538,4,11 
 tow, lat,lon:309379600, 22.5798094345, 113.9265948517,4,11 
 tow, lat,lon:309379700, 22.5798094297, 113.9265948543,4,11 
 tow, lat,lon:309379800, 22.5798094308, 113.9265948550,4,11 
 tow, lat,lon:309379900, 22.5798094300, 113.9265948606,4,11 
 tow, lat,lon:309380000, 22.5798094252, 113.9265948671,4,11 
